Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Year,Month,Month_Name,Profit_Margin
2022-05-09,Printer,Office,East,5,4880,1084.69,2022,5,May,22.227254098360657
2022-11-02,Printer,Office,West,5,265,53.21,2022,11,November,20.079245283018867
2023-09-10,Laptop,Electronics,East,1,1041,128.58,2023,9,September,12.351585014409224
2024-03-28,Smartphone,Electronics,East,8,9448,616.5,2024,3,March,6.525190516511431
2022-07-01,Headphones,Accessories,South,3,1617,440.46,2022,7,July,27.23933209647495
2024-02-17,Laptop,Electronics,West,2,1486,233.7,2024,2,February,15.726783310901748
2023-07-08,Smartwatch,Electronics,East,8,7152,1539.72,2023,7,July,21.528523489932887
2022-12-29,Mouse,Accessories,East,6,1404,368.36,2022,12,December,26.236467236467238
2023-08-11,Camera,Electronics,South,2,122,16.23,2023,8,August,13.303278688524593
2023-08-01,Camera,Electronics,North,9,7533,1285.72,2023,8,August,17.067834859949553
2023-07-23,Headphones,Accessories,South,4,3888,810.08,2023,7,July,20.83539094650206
2024-07-05,Smartphone,Electronics,South,5,870,48.87,2024,7,July,5.617241379310345
2022-11-28,Mouse,Accessories,South,2,1446,403.89,2022,11,November,27.931535269709546
2024-11-11,Tablet,Electronics,South,6,510,151.91,2024,11,November,29.786274509803924
2024-07-29,Keyboard,Accessories,West,8,6224,790.27,2024,7,July,12.697140102827763
2023-04-25,Keyboard,Accessories,North,2,686,85.03,2023,4,April,12.395043731778426
2023-12-11,Mouse,Accessories,West,4,2840,591.94,2023,12,December,20.842957746478874
2023-11-12,Laptop,Electronics,South,7,2562,347.62,2023,11,November,13.568306010928962
2024-05-04,Smartphone,Electronics,West,5,790,216.12,2024,5,May,27.356962025316456
2022-07-09,Laptop,Electronics,East,5,4170,786.42,2022,7,July,18.858992805755395
2022-11-22,Tablet,Electronics,East,4,1360,373.59,2022,11,November,27.46985294117647
2022-03-13,Camera,Electronics,East,6,5316,782.42,2022,3,March,14.71820917983446
2023-07-20,Laptop,Electronics,West,4,3956,293.38,2023,7,July,7.416076845298281
2022-05-09,Monitor,Accessories,North,3,726,94.38,2022,5,May,13.0
2024-08-04,Smartphone,Electronics,North,4,228,29.37,2024,8,August,12.881578947368421
2022-07-31,Headphones,Accessories,North,3,2274,442.57,2022,7,July,19.462181178540018
2024-09-13,Keyboard,Accessories,North,9,2628,459.87,2024,9,September,17.498858447488587
2024-05-26,Camera,Electronics,South,6,606,104.85,2024,5,May,17.301980198019802
2024-11-15,Headphones,Accessories,East,8,7256,558.79,2024,11,November,7.701074972436604
2023-03-11,Camera,Electronics,West,4,1956,125.69,2023,3,March,6.425869120654397
2024-06-20,Printer,Office,South,6,3954,690.1,2024,6,June,17.453211937278706
2023-01-11,Keyboard,Accessories,East,6,2262,442.86,2023,1,January,19.578249336870027
2022-02-15,Printer,Office,North,4,2804,391.59,2022,2,February,13.96540656205421
2022-04-26,Tablet,Electronics,South,9,5850,1511.06,2022,4,April,25.830085470085468
2023-06-07,Keyboard,Accessories,West,1,56,9.16,2023,6,June,16.357142857142858
2024-01-17,Monitor,Accessories,East,9,4302,344.64,2024,1,January,8.011157601115759
2024-05-14,Camera,Electronics,West,9,10143,1690.66,2024,5,May,16.668244109237897
2023-05-15,Headphones,Accessories,North,1,1012,164.89,2023,5,May,16.293478260869566
2023-05-22,Tablet,Electronics,East,9,8964,448.62,2023,5,May,5.004685408299866
2022-08-05,Mouse,Accessories,South,6,1758,262.36,2022,8,August,14.923777019340159
2023-10-12,Printer,Office,North,6,6348,557.72,2023,10,October,8.785759294265912
2023-11-04,Printer,Office,North,2,1582,422.46,2023,11,November,26.70417193426043
2023-05-17,Mouse,Accessories,South,2,1924,394.4,2023,5,May,20.498960498960496
2023-04-02,Keyboard,Accessories,North,1,120,23.86,2023,4,April,19.883333333333333
2024-01-26,Headphones,Accessories,East,8,7752,1943.84,2024,1,January,25.075335397316824
2023-07-13,Camera,Electronics,East,2,1114,300.44,2023,7,July,26.96947935368043
2024-11-28,Keyboard,Accessories,North,5,1765,229.06,2024,11,November,12.977903682719546
2022-08-10,Keyboard,Accessories,West,6,6834,1418.21,2022,8,August,20.752268071407666
2022-09-14,Smartphone,Electronics,East,5,1520,433.53,2022,9,September,28.521710526315786
2023-08-05,Smartwatch,Electronics,West,7,8141,767.6,2023,8,August,9.42881709863653
2023-08-30,Tablet,Electronics,South,8,5176,866.36,2023,8,August,16.738021638330757
2024-05-11,Mouse,Accessories,East,9,738,64.42,2024,5,May,8.728997289972899
2024-01-17,Printer,Office,South,9,4086,217.48,2024,1,January,5.322564855604503
2022-09-16,Mouse,Accessories,East,2,442,28.13,2022,9,September,6.364253393665158
2023-01-13,Smartphone,Electronics,East,6,2478,153.86,2023,1,January,6.2090395480225995
2022-01-22,Keyboard,Accessories,South,2,1860,327.15,2022,1,January,17.588709677419352
2022-05-24,Monitor,Accessories,East,9,4968,991.82,2022,5,May,19.964170692431562
2023-03-05,Printer,Office,South,3,1446,278.94,2023,3,March,19.29045643153527
2023-04-25,Mouse,Accessories,East,7,1722,414.87,2023,4,April,24.09233449477352
2024-07-13,Smartwatch,Electronics,East,7,6573,460.28,2024,7,July,7.002586338049596
2024-09-01,Headphones,Accessories,East,3,2481,249.52,2024,9,September,10.057234985892785
2024-12-26,Monitor,Accessories,West,6,3828,1102.86,2024,12,December,28.810344827586203
2023-08-20,Tablet,Electronics,East,7,1197,103.34,2023,8,August,8.633249791144529
2022-01-09,Tablet,Electronics,West,7,7623,1459.84,2022,1,January,19.15046569592024
2022-08-14,Mouse,Accessories,North,9,3384,252.11,2022,8,August,7.450059101654846
2022-01-01,Monitor,Accessories,South,8,1296,273.97,2022,1,January,21.13966049382716
2024-07-25,Tablet,Electronics,West,8,2840,262.62,2024,7,July,9.247183098591549
2024-08-22,Camera,Electronics,East,7,1540,342.93,2024,8,August,22.268181818181816
2022-06-28,Camera,Electronics,West,2,1414,308.39,2022,6,June,21.809759547383308
2023-04-26,Camera,Electronics,West,8,8328,466.38,2023,4,April,5.60014409221902
2023-08-29,Camera,Electronics,North,2,744,217.21,2023,8,August,29.194892473118276
2023-01-02,Mouse,Accessories,South,9,1773,168.01,2023,1,January,9.476029328821205
2023-08-11,Smartphone,Electronics,East,7,6034,1018.37,2023,8,August,16.877195889956912
2023-06-22,Smartphone,Electronics,South,9,756,99.21,2023,6,June,13.123015873015872
2024-07-27,Monitor,Accessories,East,8,2256,468.52,2024,7,July,20.7677304964539
2023-11-30,Monitor,Accessories,North,7,875,203.63,2023,11,November,23.272
2024-11-26,Headphones,Accessories,South,4,1208,115.13,2024,11,November,9.530629139072849
2023-08-15,Headphones,Accessories,South,2,352,54.19,2023,8,August,15.394886363636362
2023-02-23,Printer,Office,West,6,4266,357.51,2023,2,February,8.380450070323487
2022-03-26,Tablet,Electronics,North,7,1841,496.89,2022,3,March,26.990222705051604
2024-07-27,Camera,Electronics,East,1,712,89.5,2024,7,July,12.570224719101123
2024-03-23,Printer,Office,West,2,724,72.19,2024,3,March,9.970994475138122
2024-12-09,Smartphone,Electronics,West,8,5832,662.72,2024,12,December,11.363511659807957
2023-06-17,Keyboard,Accessories,South,6,4188,989.14,2023,6,June,23.618433619866284
2023-09-21,Tablet,Electronics,West,1,392,50.7,2023,9,September,12.933673469387754
2022-05-14,Laptop,Electronics,East,9,963,49.71,2022,5,May,5.161993769470405
2024-04-13,Camera,Electronics,West,6,5706,319.46,2024,4,April,5.598668068699614
2024-06-11,Headphones,Accessories,West,7,1365,312.04,2024,6,June,22.86007326007326
2023-05-23,Headphones,Accessories,South,1,202,11.24,2023,5,May,5.564356435643565
2023-12-24,Smartphone,Electronics,North,9,2430,613.67,2023,12,December,25.253909465020573
2023-04-26,Monitor,Accessories,South,3,2670,515.39,2023,4,April,19.30299625468165
2022-01-21,Tablet,Electronics,South,7,2758,520.66,2022,1,January,18.878172588832488
2022-10-14,Monitor,Accessories,South,9,873,82.35,2022,10,October,9.43298969072165
2023-08-23,Smartwatch,Electronics,West,9,7245,1410.92,2023,8,August,19.4743961352657
2023-09-13,Camera,Electronics,North,4,960,255.24,2023,9,September,26.587500000000002
2024-12-28,Smartwatch,Electronics,East,4,1284,171.02,2024,12,December,13.319314641744548
2023-06-09,Mouse,Accessories,West,4,512,110.47,2023,6,June,21.576171875
2022-07-10,Smartwatch,Electronics,South,9,9729,2039.41,2022,7,July,20.962174940898347
2023-01-11,Camera,Electronics,North,5,1580,166.16,2023,1,January,10.51645569620253
2023-07-26,Mouse,Accessories,East,8,976,234.24,2023,7,July,24.000000000000004
2024-01-05,Printer,Office,North,8,1824,495.35,2024,1,January,27.157346491228076
2023-05-08,Smartphone,Electronics,South,4,3188,202.81,2023,5,May,6.361668757841906
2023-11-29,Camera,Electronics,East,7,5467,556.02,2023,11,November,10.17047740991403
2024-09-05,Smartphone,Electronics,South,6,5406,1277.46,2024,9,September,23.63041065482797
2024-08-08,Headphones,Accessories,East,8,2984,742.31,2024,8,August,24.876340482573724
2023-04-12,Printer,Office,North,1,919,193.35,2023,4,April,21.03917301414581
2023-08-18,Camera,Electronics,South,6,1686,426.72,2023,8,August,25.309608540925264
2023-06-02,Laptop,Electronics,West,7,4165,493.24,2023,6,June,11.84249699879952
2023-11-17,Smartphone,Electronics,West,7,1281,282.63,2023,11,November,22.063231850117095
2024-06-17,Smartwatch,Electronics,East,3,2829,362.16,2024,6,June,12.8016967126193
2024-04-06,Monitor,Accessories,West,3,2211,292.31,2024,4,April,13.220714608774312
2024-12-18,Headphones,Accessories,East,4,4740,607.81,2024,12,December,12.822995780590714
2023-12-09,Camera,Electronics,East,1,718,169.09,2023,12,December,23.550139275766018
2022-10-10,Headphones,Accessories,North,6,1716,108.81,2022,10,October,6.340909090909092
2024-04-22,Monitor,Accessories,South,7,1547,152.59,2024,4,April,9.86360698125404
2022-06-14,Mouse,Accessories,North,1,739,111.18,2022,6,June,15.044654939106902
2023-09-03,Laptop,Electronics,West,3,819,231.88,2023,9,September,28.31257631257631
2023-12-19,Laptop,Electronics,South,8,5696,1156.3,2023,12,December,20.300210674157302
2023-01-22,Monitor,Accessories,South,2,1706,184.71,2023,1,January,10.827080890973036
2024-01-23,Camera,Electronics,North,2,2066,608.23,2024,1,January,29.43998063891578
2024-06-07,Laptop,Electronics,North,2,256,35.66,2024,6,June,13.929687499999998
2024-02-04,Smartphone,Electronics,North,2,1102,182.54,2024,2,February,16.56442831215971
2024-08-31,Monitor,Accessories,North,8,2872,483.94,2024,8,August,16.850278551532032
2024-11-11,Tablet,Electronics,East,4,2584,394.52,2024,11,November,15.26780185758514
2024-07-27,Mouse,Accessories,North,2,1366,298.32,2024,7,July,21.838945827232795
2024-05-11,Smartwatch,Electronics,South,7,1253,354.23,2024,5,May,28.270550678371908
2023-03-24,Laptop,Electronics,West,7,2618,300.81,2023,3,March,11.490068754774638
2022-09-22,Headphones,Accessories,East,9,6822,1811.37,2022,9,September,26.551890941072998
2023-11-05,Keyboard,Accessories,East,6,5286,636.16,2023,11,November,12.034808929247069
2024-06-13,Monitor,Accessories,North,1,579,133.57,2024,6,June,23.06908462867012
2022-02-28,Laptop,Electronics,West,8,1392,190.99,2022,2,February,13.720545977011495
2022-11-14,Laptop,Electronics,West,9,2493,696.69,2022,11,November,27.945848375451266
2023-09-17,Smartphone,Electronics,North,7,6461,766.45,2023,9,September,11.862714750038695
2022-08-17,Tablet,Electronics,East,2,1486,201.07,2022,8,August,13.530955585464334
2023-05-14,Printer,Office,South,1,1152,280.28,2023,5,May,24.32986111111111
2022-03-12,Smartwatch,Electronics,West,2,1750,103.99,2022,3,March,5.942285714285714
2022-07-12,Smartphone,Electronics,West,7,4417,495.37,2022,7,July,11.215078107312655
2024-07-05,Laptop,Electronics,South,4,3724,276.85,2024,7,July,7.43421052631579
2023-06-16,Camera,Electronics,West,3,2220,121.14,2023,6,June,5.456756756756756
2023-06-20,Monitor,Accessories,West,8,9104,2620.58,2023,6,June,28.784929701230226
2024-08-08,Printer,Office,West,3,3093,584.23,2024,8,August,18.88878111865503
2023-03-01,Headphones,Accessories,South,6,3048,842.24,2023,3,March,27.63254593175853
2022-05-02,Smartphone,Electronics,North,1,161,36.58,2022,5,May,22.720496894409937
2023-07-23,Monitor,Accessories,West,7,7238,1889.69,2023,7,July,26.10790273556231
2024-03-30,Smartphone,Electronics,North,3,3561,347.31,2024,3,March,9.753159224936816
2022-08-07,Monitor,Accessories,North,5,1850,534.39,2022,8,August,28.885945945945945
2022-03-06,Mouse,Accessories,West,6,3522,626.72,2022,3,March,17.79443498012493
2023-11-24,Smartwatch,Electronics,East,1,584,172.4,2023,11,November,29.520547945205482
2023-08-31,Smartphone,Electronics,East,4,2556,412.44,2023,8,August,16.136150234741784
2023-10-14,Smartphone,Electronics,South,2,348,56.31,2023,10,October,16.181034482758623
2023-05-16,Monitor,Accessories,South,9,1602,142.49,2023,5,May,8.894506866416979
2023-06-19,Monitor,Accessories,South,3,2853,437.59,2023,6,June,15.337889940413598
2023-07-21,Printer,Office,West,1,1024,230.3,2023,7,July,22.490234375
2022-03-20,Camera,Electronics,East,5,4485,1324.49,2022,3,March,29.531549609810483
2023-08-06,Printer,Office,East,2,436,79.69,2023,8,August,18.277522935779817
2024-10-21,Smartwatch,Electronics,North,2,2232,150.12,2024,10,October,6.725806451612904
2022-08-14,Keyboard,Accessories,South,6,7056,1445.01,2022,8,August,20.479166666666668
2022-03-15,Keyboard,Accessories,East,5,875,96.65,2022,3,March,11.045714285714286
2022-02-01,Smartwatch,Electronics,East,3,315,61.94,2022,2,February,19.663492063492065
2022-04-24,Laptop,Electronics,East,2,358,51.75,2022,4,April,14.455307262569834
2023-03-23,Camera,Electronics,South,7,3451,194.42,2023,3,March,5.633729353810489
2022-02-10,Laptop,Electronics,North,9,1350,189.13,2022,2,February,14.00962962962963
2023-10-19,Tablet,Electronics,West,8,3320,413.32,2023,10,October,12.449397590361446
2024-09-10,Mouse,Accessories,North,9,8442,940.33,2024,9,September,11.138711205875387
2022-06-17,Keyboard,Accessories,South,1,166,31.97,2022,6,June,19.25903614457831
2023-08-09,Mouse,Accessories,North,5,3720,448.6,2023,8,August,12.059139784946238
2023-07-11,Laptop,Electronics,South,2,1090,136.65,2023,7,July,12.536697247706421
2024-01-05,Laptop,Electronics,West,9,9783,2347.49,2024,1,January,23.99560462025963
2022-09-22,Smartphone,Electronics,North,4,2432,657.18,2022,9,September,27.022203947368418
2023-06-22,Mouse,Accessories,North,7,4060,291.42,2023,6,June,7.1778325123152715
2023-03-26,Smartwatch,Electronics,North,1,387,99.59,2023,3,March,25.733850129198967
2023-08-11,Smartwatch,Electronics,North,3,966,120.56,2023,8,August,12.48033126293996
2024-05-17,Tablet,Electronics,North,3,3366,882.29,2024,5,May,26.21182412358883
2024-06-30,Monitor,Accessories,West,7,7833,1843.94,2024,6,June,23.54066130473637
2023-04-09,Monitor,Accessories,West,1,610,33.55,2023,4,April,5.499999999999999
2022-05-28,Smartwatch,Electronics,West,8,4288,597.09,2022,5,May,13.924673507462687
2022-07-18,Printer,Office,North,9,7740,605.35,2022,7,July,7.821059431524548
2024-08-20,Smartwatch,Electronics,West,9,3150,457.13,2024,8,August,14.512063492063493
2023-12-31,Keyboard,Accessories,West,2,894,224.75,2023,12,December,25.139821029082775
2022-10-09,Laptop,Electronics,North,8,7544,1219.73,2022,10,October,16.1682131495228
2024-03-01,Keyboard,Accessories,North,8,6360,1871.88,2024,3,March,29.432075471698116
2022-03-19,Smartphone,Electronics,West,4,2428,485.75,2022,3,March,20.006177924217464
2022-10-05,Headphones,Accessories,South,2,574,38.52,2022,10,October,6.710801393728223
2023-04-25,Keyboard,Accessories,West,6,6744,660.47,2023,4,April,9.793446026097271
2023-09-11,Headphones,Accessories,North,6,798,213.4,2023,9,September,26.741854636591476
2023-01-13,Printer,Office,North,5,2860,339.0,2023,1,January,11.853146853146853
2022-04-03,Printer,Office,South,5,5410,1129.77,2022,4,April,20.882994454713494
2023-02-26,Laptop,Electronics,West,5,4445,580.15,2023,2,February,13.051743532058493
2024-11-03,Smartwatch,Electronics,South,8,7536,1197.09,2024,11,November,15.884952229299362
2023-09-26,Monitor,Accessories,North,7,4165,263.26,2023,9,September,6.320768307322928
2024-02-19,Laptop,Electronics,East,3,3021,763.99,2024,2,February,25.28930817610063
2024-04-29,Keyboard,Accessories,North,2,310,70.66,2024,4,April,22.793548387096774
2024-05-15,Headphones,Accessories,South,2,2170,522.0,2024,5,May,24.05529953917051
2024-10-22,Tablet,Electronics,West,3,2832,317.76,2024,10,October,11.220338983050846
2022-07-31,Smartwatch,Electronics,West,5,3945,392.09,2022,7,July,9.93891001267427
2022-09-10,Tablet,Electronics,South,4,2104,308.0,2022,9,September,14.638783269961978
2022-08-24,Monitor,Accessories,South,2,2060,517.64,2022,8,August,25.128155339805826
2024-06-23,Printer,Office,North,4,1060,155.78,2024,6,June,14.69622641509434
2023-01-13,Smartwatch,Electronics,South,6,810,108.61,2023,1,January,13.40864197530864
2022-09-23,Laptop,Electronics,West,3,873,57.42,2022,9,September,6.577319587628866
2022-02-08,Tablet,Electronics,West,5,595,121.11,2022,2,February,20.354621848739495
2022-12-18,Laptop,Electronics,West,2,1562,119.56,2022,12,December,7.654289372599232
2022-01-25,Smartwatch,Electronics,East,9,5337,1575.99,2022,1,January,29.529510961214168
2022-12-09,Printer,Office,North,2,212,13.4,2022,12,December,6.320754716981132
2023-06-14,Printer,Office,East,8,2704,705.74,2023,6,June,26.09985207100592
2024-05-31,Laptop,Electronics,North,5,3225,523.32,2024,5,May,16.226976744186047
2023-08-07,Monitor,Accessories,North,2,1342,184.59,2023,8,August,13.754843517138598
2022-07-13,Mouse,Accessories,South,7,3395,1012.78,2022,7,July,29.831516936671576
2024-12-01,Smartwatch,Electronics,East,4,3968,480.72,2024,12,December,12.11491935483871
2024-04-12,Smartphone,Electronics,West,5,4555,776.65,2024,4,April,17.050493962678377
2022-02-26,Tablet,Electronics,West,2,2132,365.44,2022,2,February,17.140712945590995
2022-03-31,Mouse,Accessories,West,6,6516,842.83,2022,3,March,12.934775936157154
2023-08-17,Smartwatch,Electronics,North,2,2040,481.15,2023,8,August,23.58578431372549
2024-09-23,Mouse,Accessories,East,6,6126,428.38,2024,9,September,6.992817499183807
2022-09-11,Smartwatch,Electronics,West,8,520,30.58,2022,9,September,5.88076923076923
2023-01-01,Camera,Electronics,South,5,4470,526.96,2023,1,January,11.78881431767338
2024-07-12,Smartwatch,Electronics,West,8,5504,1196.78,2024,7,July,21.743822674418603
2022-01-11,Headphones,Accessories,West,4,3036,511.69,2022,1,January,16.854084321475625
2024-10-05,Smartwatch,Electronics,East,5,2725,308.29,2024,10,October,11.313394495412844
2024-09-16,Printer,Office,North,8,4080,336.96,2024,9,September,8.258823529411764
2024-05-23,Keyboard,Accessories,North,8,3080,776.6,2024,5,May,25.214285714285715
2023-06-08,Smartwatch,Electronics,North,5,1525,413.75,2023,6,June,27.13114754098361
2022-07-16,Monitor,Accessories,South,4,1332,342.85,2022,7,July,25.739489489489493
2023-07-24,Smartphone,Electronics,South,7,4669,803.21,2023,7,July,17.20304133647462
2022-03-12,Smartwatch,Electronics,West,6,5310,1099.84,2022,3,March,20.71261770244821
2023-01-12,Camera,Electronics,East,8,9392,2651.84,2023,1,January,28.2350936967632
2022-11-03,Monitor,Accessories,South,5,1350,198.19,2022,11,November,14.680740740740742
2024-03-14,Monitor,Accessories,North,4,3648,768.61,2024,3,March,21.06935307017544
2023-07-27,Printer,Office,North,2,300,47.59,2023,7,July,15.863333333333335
2022-08-14,Smartphone,Electronics,North,3,3408,727.26,2022,8,August,21.339788732394364
2024-11-17,Keyboard,Accessories,South,9,4302,475.96,2024,11,November,11.063691306369131
2024-05-13,Keyboard,Accessories,South,5,4575,771.24,2024,5,May,16.857704918032788
2022-10-21,Laptop,Electronics,East,8,9304,1855.7,2022,10,October,19.945184866723988
2024-04-15,Monitor,Accessories,East,4,1928,232.48,2024,4,April,12.058091286307054
2023-01-17,Printer,Office,East,2,1042,86.24,2023,1,January,8.276391554702494
2023-11-28,Tablet,Electronics,East,3,2214,507.7,2023,11,November,22.931345980126466
2024-05-03,Keyboard,Accessories,South,4,3024,678.26,2024,5,May,22.429232804232804
2023-08-11,Camera,Electronics,East,2,1104,173.01,2023,8,August,15.67119565217391
2022-07-26,Mouse,Accessories,East,8,6056,1631.71,2022,7,July,26.94369220607662
2023-02-07,Mouse,Accessories,South,5,5295,1375.98,2023,2,February,25.986402266288955
2022-01-19,Smartphone,Electronics,North,4,3668,839.4,2022,1,January,22.884405670665213
2023-06-30,Printer,Office,South,9,4293,295.47,2023,6,June,6.882599580712789
2022-08-19,Mouse,Accessories,North,7,5789,950.45,2022,8,August,16.418206944204528
2023-08-27,Smartwatch,Electronics,North,6,4440,800.92,2023,8,August,18.03873873873874
2022-03-10,Printer,Office,South,5,5515,330.02,2022,3,March,5.984043517679057
2024-10-12,Camera,Electronics,North,4,784,192.77,2024,10,October,24.588010204081634
2024-06-15,Laptop,Electronics,East,4,576,156.59,2024,6,June,27.185763888888893
2024-09-09,Smartwatch,Electronics,West,5,705,198.62,2024,9,September,28.17304964539007
2023-09-24,Keyboard,Accessories,North,6,4458,1215.3,2023,9,September,27.261103633916555
2022-08-25,Smartphone,Electronics,East,6,6780,811.92,2022,8,August,11.975221238938053
2023-10-01,Smartwatch,Electronics,North,5,3970,642.7,2023,10,October,16.188916876574307
2023-01-08,Monitor,Accessories,North,7,5131,368.11,2023,1,January,7.174235041902163
2022-10-02,Laptop,Electronics,East,7,1750,90.21,2022,10,October,5.154857142857142
2022-02-11,Tablet,Electronics,East,7,8337,753.35,2022,2,February,9.036224061412979
2022-09-15,Keyboard,Accessories,East,9,9810,549.46,2022,9,September,5.601019367991846
2024-01-28,Keyboard,Accessories,East,3,2658,794.36,2024,1,January,29.885628291948834
2022-07-23,Printer,Office,West,1,473,43.65,2022,7,July,9.228329809725158
2022-01-14,Tablet,Electronics,North,9,2205,410.01,2022,1,January,18.59455782312925
2023-06-13,Smartphone,Electronics,South,9,6948,1409.3,2023,6,June,20.283534830166953
2022-09-09,Tablet,Electronics,North,3,774,212.02,2022,9,September,27.392764857881136
2023-12-26,Tablet,Electronics,North,3,2532,343.13,2023,12,December,13.551737756714061
2024-11-16,Laptop,Electronics,West,7,6587,1173.91,2024,11,November,17.821618339152877
2024-04-01,Smartphone,Electronics,East,7,7266,806.79,2024,4,April,11.103633360858794
2024-11-27,Smartphone,Electronics,East,7,6867,502.06,2024,11,November,7.3111984855104115
2023-07-01,Camera,Electronics,South,9,4887,396.36,2023,7,July,8.110497237569062
2023-02-13,Mouse,Accessories,West,4,864,251.99,2023,2,February,29.16550925925926
2023-11-09,Smartphone,Electronics,East,6,5190,1215.07,2023,11,November,23.411753371868976
2022-05-20,Keyboard,Accessories,South,8,2128,294.45,2022,5,May,13.836936090225564
2024-06-26,Mouse,Accessories,East,2,1718,218.82,2024,6,June,12.736903376018628
2022-05-02,Smartphone,Electronics,North,2,1270,229.39,2022,5,May,18.062204724409447
2023-05-18,Keyboard,Accessories,East,7,2569,130.19,2023,5,May,5.067730634488128
2022-02-14,Printer,Office,South,2,1518,262.65,2022,2,February,17.302371541501973
2022-11-22,Headphones,Accessories,South,2,1210,268.37,2022,11,November,22.17933884297521
2022-03-15,Mouse,Accessories,East,2,1128,94.13,2022,3,March,8.34485815602837
2023-08-23,Headphones,Accessories,North,1,1077,77.97,2023,8,August,7.2395543175487465
2023-12-18,Keyboard,Accessories,East,6,2244,517.47,2023,12,December,23.06016042780749
2022-09-16,Mouse,Accessories,West,8,1608,464.18,2022,9,September,28.866915422885576
2024-12-15,Camera,Electronics,West,5,3685,476.2,2024,12,December,12.922659430122115
2024-04-25,Camera,Electronics,North,8,4080,1079.49,2024,4,April,26.45808823529412
2024-02-09,Monitor,Accessories,North,1,404,84.4,2024,2,February,20.891089108910894
2023-04-19,Keyboard,Accessories,South,2,1738,163.38,2023,4,April,9.400460299194476
2023-01-31,Printer,Office,West,3,828,210.33,2023,1,January,25.40217391304348
2023-11-24,Mouse,Accessories,North,4,4344,461.72,2023,11,November,10.628913443830571
2023-10-02,Tablet,Electronics,North,1,1130,268.88,2023,10,October,23.794690265486725
2024-04-18,Headphones,Accessories,North,3,1698,304.91,2024,4,April,17.957008244994114
2023-06-27,Tablet,Electronics,East,4,844,136.02,2023,6,June,16.11611374407583
2023-02-20,Printer,Office,West,2,2286,218.18,2023,2,February,9.544181977252844
2023-12-12,Camera,Electronics,East,2,1026,170.31,2023,12,December,16.599415204678365
2023-10-04,Laptop,Electronics,West,6,6984,1433.65,2023,10,October,20.527634593356243
2022-02-18,Monitor,Accessories,West,4,1672,432.35,2022,2,February,25.85825358851675
2023-01-08,Laptop,Electronics,North,6,1092,63.98,2023,1,January,5.858974358974359
2024-04-01,Headphones,Accessories,South,2,272,24.71,2024,4,April,9.084558823529413
2023-11-12,Headphones,Accessories,West,2,1126,204.99,2023,11,November,18.205150976909415
2023-10-22,Mouse,Accessories,West,7,8155,2177.38,2023,10,October,26.69993868792152
2023-03-29,Smartwatch,Electronics,East,7,4298,358.38,2023,3,March,8.338296882270823
2022-12-17,Smartphone,Electronics,East,5,1365,310.66,2022,12,December,22.75897435897436
2024-11-28,Camera,Electronics,West,6,4116,381.35,2024,11,November,9.265063168124394
2022-04-07,Headphones,Accessories,South,8,904,181.45,2022,4,April,20.071902654867255
2024-12-05,Smartwatch,Electronics,South,1,70,10.64,2024,12,December,15.2
2023-09-03,Keyboard,Accessories,East,2,344,72.87,2023,9,September,21.183139534883722
2023-08-19,Printer,Office,East,1,330,78.52,2023,8,August,23.793939393939393
2024-08-17,Headphones,Accessories,South,2,518,34.22,2024,8,August,6.606177606177606
2022-08-18,Mouse,Accessories,North,9,2763,458.4,2022,8,August,16.590662323561347
2022-03-26,Smartwatch,Electronics,North,2,2298,343.53,2022,3,March,14.949086161879894
2024-10-02,Monitor,Accessories,South,1,436,73.89,2024,10,October,16.94724770642202
2022-09-28,Mouse,Accessories,East,6,1824,213.47,2022,9,September,11.703399122807017
2024-05-12,Laptop,Electronics,North,5,1540,411.83,2024,5,May,26.74220779220779
2023-03-14,Tablet,Electronics,East,7,5572,385.82,2023,3,March,6.924264178033022
2023-09-21,Monitor,Accessories,East,6,3030,335.71,2023,9,September,11.079537953795379
2024-05-02,Monitor,Accessories,West,5,1245,345.84,2024,5,May,27.778313253012044
2022-01-31,Tablet,Electronics,South,4,1252,326.69,2022,1,January,26.093450479233226
2024-06-04,Camera,Electronics,North,9,4959,479.28,2024,6,June,9.664851784634
2023-02-16,Monitor,Accessories,West,7,8162,443.81,2023,2,February,5.437515314873806
2023-05-26,Monitor,Accessories,East,5,1370,253.92,2023,5,May,18.534306569343066
2023-12-28,Tablet,Electronics,North,3,3111,607.23,2023,12,December,19.51880424300868
2022-10-10,Mouse,Accessories,South,7,7805,1078.03,2022,10,October,13.812043561819346
2024-04-21,Smartphone,Electronics,South,9,10314,2729.6,2024,4,April,26.46499903044405
2023-09-29,Keyboard,Accessories,South,9,10782,2730.14,2023,9,September,25.321276201075865
2024-10-22,Monitor,Accessories,West,5,4375,987.96,2024,10,October,22.58194285714286
2023-07-31,Monitor,Accessories,North,5,2265,595.05,2023,7,July,26.271523178807943
2022-04-15,Laptop,Electronics,East,1,166,9.69,2022,4,April,5.837349397590361
2024-04-24,Headphones,Accessories,North,7,7217,1481.7,2024,4,April,20.53069142302896
2022-01-16,Tablet,Electronics,East,3,1767,186.54,2022,1,January,10.556876061120542
2023-12-06,Laptop,Electronics,East,3,2883,557.81,2023,12,December,19.348248352410682
2024-09-04,Smartwatch,Electronics,South,3,1338,396.08,2024,9,September,29.602391629297458
